,village,timestamp,crop_type,total_yield,pesticides_tonnes,rainfall_mm,temperature_C,humidity_%,wind_speed_kmph,solar_radiation_Wm2,frost_days,soil_ph,soil_moisture_%,soil_nitrogen_ppm,soil_phosphorus_ppm,soil_potassium_ppm,organic_matter_%,fertilizer_kg_per_hectare,irrigation_mm,pesticide_use_liters,NDVI,EVI,SAVI,canopy_temp_C,previous_yield_tonnes,yield_variability_%,market_price_usd_per_tonne,demand_forecast_tonnes,altitude_m,slope_%,proximity_to_water_km,drought_frequency,heatwave_days,CO2_concentration_ppm,local_market_demand_tonnes,export_market_demand_tonnes,local_market_price_Maloti_per_tonne,export_market_price_Maloti_per_tonne,storage_cost_Maloti_per_month,transport_cost_Maloti_per_km,profit_margin_%,supply_vs_demand_ratio
0,Ha Lejone,2020-01-31,wheat,3.5062452210727573,3.5699016670463193,92.32638742970718,29.575549983883207,64.89208260876849,13.498775134716233,602.783226641455,1,6.445614604120296,22.31836634326375,38.34422692677077,32.08880152208803,293.8046159981378,4.5715728161526386,149.06951223785802,41.783682285912604,1.4789828421212579,0.7467550005228818,0.5177267638918539,0.4717371812141302,36.72912916744012,4.466889332697939,24.160608907679805,223.67302793064803,1411.8847002152197,1217.8659278817586,3.8419574983122424,3.944357285215557,1,1,385.23301379078316,727.2069704564652,1453.803953084724,5801.989243059783,4370.804103290123,288.859610157353,25.381683625896535,20.04106296504121,1.4503885370200171
1,Semonkong,2020-02-29,wheat,6.808133446794608,3.940381567030556,190.84903077872667,28.18619179653613,81.02265137409542,8.20710507875363,778.9619457024814,0,5.7338148623112595,28.024980140838153,23.86901782706543,39.12663143597651,245.91074394189775,4.069803822574276,73.81816146312627,94.75729000888906,1.459431139493406,0.23333605655908868,0.6856971088753392,0.4857958801002312,32.99877681132445,4.275603882143941,5.057921762754837,219.0947776662833,3633.385718223609,1201.365413106835,5.181177656928248,5.25412023450146,1,4,388.77599660974613,2204.18716003134,655.188031464623,5018.767396776544,4539.687853487889,467.92404301660616,42.42886393559101,19.29845147997807,1.2808089524936341
2,Ha Lejone,2020-03-31,wheat,8.522855913526122,4.83203530758336,58.25314525932135,26.60958066458913,76.10744789796937,11.176408791541519,365.2796021087998,3,5.711583388062973,23.05545324268163,34.90407404412963,31.32868590261278,229.36739263284818,3.327009323724416,91.66747999958127,93.48491848180205,1.8844050668441266,0.20790568088743885,0.21298957344552172,0.4305827413270076,21.946387599515795,2.0601163417733352,5.249155931028238,516.258105688247,3144.7577933739904,1704.0538013036182,10.879045691581728,5.5099813764717975,2,6,386.16732451250715,1766.2364560500016,630.3309397736181,4813.794832283267,5397.94298016782,468.38246325934466,49.2970273700116,14.909409230812491,1.4351076327718821
3,Mokhotlong,2020-04-30,wheat,4.542205089333405,2.2197929353540404,134.97864505060528,20.69718652680054,54.75660905810473,7.344297369784845,749.849355040534,2,6.079252690717036,18.413681124527358,40.79830112688296,24.691597785430474,228.55321967292053,3.444294264378404,53.931504873993006,37.28666898910873,1.9340255968971918,0.218385749507988,0.2831448587334148,0.5834229453844827,33.25715569601553,2.34153818001292,12.208176053121926,352.6793022622536,3750.9416800601557,1232.489692633676,6.929757750143425,5.542659040736685,2,0,403.2059750529596,2109.9520238622595,1003.171816883283,4245.096855538077,5488.0634712719575,199.8065104289467,23.07083156386408,6.159691439591326,1.357926550094527
4,Thaba-Tseka,2020-05-31,wheat,2.8123462822797283,3.7207992998719366,171.31750465917366,22.932591512542917,63.49769666385577,14.184229271881714,498.4238406622132,4,6.72521781725127,26.285570797413392,31.814489579465565,10.77963614738858,149.9383870617586,2.073634869825231,137.4992294921953,95.98081148233337,0.5059339526012623,0.5589481524960971,0.785680770728068,0.4580694047011734,29.396418852280284,4.5077617729855355,23.496230807981753,578.9104715632341,4761.178506649423,1289.648571765461,10.19389601401249,3.7963376300017124,2,1,391.8345257581108,698.4764380282497,939.8512875277387,5981.464633196459,7246.383906145498,282.17505807640197,29.818548579768255,7.642931167396243,0.6946473750525776
5,Thaba-Tseka,2020-06-30,wheat,3.2702808122464067,4.529765707557744,112.98014227153408,22.59742931703854,46.51729121075961,16.123545746399017,379.86525006468804,3,6.189140229960151,23.333540779649827,51.39690307038087,28.507443214094355,158.47663651648404,2.4875293133105756,134.23300028231347,43.67605803411317,1.5290588797283458,0.7668439096301087,0.433725567528982,0.6628043518258672,27.83102179325143,4.259666149130018,6.552991929467982,371.70176543589974,2845.7728538609463,1414.2490892171716,4.369247249870854,1.5486904774955172,1,2,406.0119488824011,2122.8851743029063,457.9115816470941,2699.8533542292844,4253.141630245865,251.71218276496973,19.451216972407252,11.717828800704662,0.6622708308210598
6,Qacha's Nek,2020-07-31,wheat,4.2902998299413975,0.7169505808821273,72.72464908474457,29.692252233359937,45.0941982151792,17.290007383001814,577.6428275772679,2,6.049760247505269,29.07005754889358,74.20477349574635,32.53466082979577,231.84913499108254,3.9049500888888584,60.34939305520564,20.01072859538563,2.1338237443173176,0.8074559313263243,0.33311883881058646,0.3730016038662751,33.28111427853391,3.985144341205878,11.195873552700204,567.4695305285499,2760.6478745956174,1469.6480536436284,5.803121490421606,4.3729879696068,1,2,397.34269986772205,897.5406016615374,982.8819401269936,3441.257896948481,5796.667014564211,119.22917708925539,48.49783573826018,16.418471745820504,1.0702701440984588
7,Thaba-Tseka,2020-08-31,wheat,9.821967782555642,3.2776661054893883,58.12723442184369,19.484337974805428,65.22236024767105,8.370747815898937,312.77399200685556,2,6.429730825230527,23.51636535467012,64.23491561176063,18.11832350028816,102.62506057547218,2.0140362849868714,73.43986652978734,59.61651253677027,0.7244531255632269,0.2658493281627712,0.4599768714067807,0.24017567369498025,20.33281980713539,4.496799506675181,20.354801786105398,349.41470541581043,4020.9410644696495,1234.7712046715315,5.809632644079215,9.494980405569853,0,5,418.40366829365786,1341.5989034765203,273.84961237396755,3577.990684075803,5893.456495723968,113.62835844318582,28.81392501342832,21.948098671542702,1.4046618783038025
8,Mokhotlong,2020-09-30,wheat,3.6828739150091314,3.636401397212297,166.2678668695805,29.931677791851847,70.55176354374956,12.129831367830665,387.97565710511327,3,6.900271428687244,24.741506285787136,27.76770199002382,38.16125586873322,272.01459392218436,2.1846828049113785,104.09307335251592,48.85078602580802,1.1544378235043788,0.3311615597049366,0.5251061744717849,0.3756612196927669,26.584913140667627,1.1049290827975673,17.56962216404669,521.0472710548906,2330.9046095230397,1498.3834503196733,1.220298992869337,1.5259497363608212,0,4,395.71086033839555,1695.9707139086606,701.2861656662026,4194.267990204411,4845.67418043723,497.6148980945626,29.698931712714952,14.382279958255465,0.5445929115282929
9,Ha Lejone,2020-10-31,wheat,7.580764378931946,0.7303719466199017,173.99789228595256,23.51694142924723,87.37595922326248,6.078179736899607,553.2031213154575,2,6.224628870236424,29.314667091351218,58.41381047573905,36.00268374246432,154.4328961316892,3.284162820053952,70.53199933508542,43.11349323017092,1.710207062459311,0.3512985859591969,0.5498924384405259,0.2840078784308224,26.61907065054183,1.9416973295979254,6.648488647569217,511.8685307033276,1696.6197557760156,1493.827160003837,3.073144380063776,5.553805062538291,2,0,391.99796949003104,1930.5466383557975,241.80583106431754,3618.2353762132943,7699.568516482255,156.69019468269818,20.255291171813134,19.21745849374231,0.8372525547949313
