,village,timestamp,crop_type,total_yield,pesticides_tonnes,rainfall_mm,temperature_C,humidity_%,wind_speed_kmph,solar_radiation_Wm2,frost_days,soil_ph,soil_moisture_%,soil_nitrogen_ppm,soil_phosphorus_ppm,soil_potassium_ppm,organic_matter_%,fertilizer_kg_per_hectare,irrigation_mm,pesticide_use_liters,NDVI,EVI,SAVI,canopy_temp_C,previous_yield_tonnes,yield_variability_%,market_price_usd_per_tonne,demand_forecast_tonnes,altitude_m,slope_%,proximity_to_water_km,drought_frequency,heatwave_days,CO2_concentration_ppm,local_market_demand_tonnes,export_market_demand_tonnes,local_market_price_Maloti_per_tonne,export_market_price_Maloti_per_tonne,storage_cost_Maloti_per_month,transport_cost_Maloti_per_km,profit_margin_%,supply_vs_demand_ratio
0,Thaba-Tseka,2020-01-31,wheat,8.089870391866743,4.893045793546127,145.97508439327538,16.92925538561834,65.69640025838191,12.924527789722983,612.7512472165529,0,6.7011600229302815,28.03141086827312,62.33483332977657,21.481679553277566,273.33909938280465,2.5727720822145734,139.17623242052662,24.289728634330558,1.1079053109814534,0.5246753324750968,0.6267449449756513,0.37278055584394665,36.588930830760816,2.1266901411570722,22.8773040366401,407.72436712179444,2291.225671521329,1778.1672820230096,7.621389405309896,5.582567953207623,2,2,417.1338412331655,2194.9381839822217,1307.7796270113656,2345.457956922364,6922.969039650825,238.90526030863612,37.705094353013834,5.0027956318245925,1.2741516009712748
1,Semonkong,2020-02-29,wheat,7.929080236858655,4.649021921164372,100.09783438657567,31.787333906519212,64.30995776301816,8.381334712087963,352.0175838160408,3,5.971675785134522,25.99739446365288,48.20952645752985,39.62138783497865,148.6224481167963,3.208403637123834,52.374050759730096,69.98665312993583,2.044030006468123,0.3732691397058403,0.20092729102515627,0.14666367441412215,23.48378650896654,3.100301300943368,9.286548754004478,418.86489759842283,4309.2736972590255,1447.0603333737652,11.720455847115714,8.92748755802276,0,7,413.90919646472867,658.2179382104434,969.9273782697052,2610.217763006186,6012.231565377296,428.7437828336941,20.621525300183784,16.424340412316468,0.6822028793853122
2,Ha Lejone,2020-03-31,wheat,5.815598417005365,4.491829892715867,103.04323589346802,21.28116014621292,82.61025002507739,18.815323178671854,613.643644103804,3,7.162945807232373,14.942921876868368,63.076083956608834,25.672532052888428,137.93194953034572,1.2529454626294827,125.61400842717322,80.79135836314289,1.148784166021457,0.8814693401268099,0.41904531160113845,0.5523187171037792,39.12842135000889,1.0270258797866898,19.70160833259618,431.01058678539204,3282.662312439852,1458.3468303164404,14.427474970074545,5.653201293350544,2,8,381.787688028334,1530.3054871432973,720.5102871335001,2651.030656612567,6032.067664136679,255.09512270779925,44.82807027032089,8.35934831562559,1.4986959463902485
3,Qacha's Nek,2020-04-30,wheat,3.8845844078433798,4.150747580690334,50.864970976060036,22.464917481751954,80.89728622024549,12.460747753591319,355.2492602571359,1,5.9040053343123375,18.029673782245972,34.93901736680323,16.254795374508525,228.55739058012142,2.7075783050937723,100.38366026431021,95.32427137663363,1.0848481178883969,0.4100247428386712,0.2720590205584905,0.4025937659872605,30.120631230660553,4.767702712730664,21.19609721006579,598.3433680339422,2846.1059340501215,1794.481803644692,5.9270329155372945,2.72997989028696,0,4,391.8269077802108,940.1474421664573,1151.0647991978276,2770.5062837186265,7399.061780462491,372.1967150253177,27.72682973114898,11.11867848868659,0.567628103270529
4,Semonkong,2020-05-31,wheat,3.8763880247275146,1.4665552046821728,74.86365861549612,31.887018409938076,63.52893440943242,15.458832599633668,570.2099390881858,2,6.740594161465787,22.02699219814026,53.63828249552407,25.006030207434648,228.37322803075145,2.9067323424555545,106.66969135860296,21.307319193417253,1.7713548779680177,0.2691712466318763,0.5521227617438753,0.4099263411976497,22.824794698115568,3.200281795814766,20.139196727799764,265.53564748347947,3130.2690728382054,1318.6651315207412,12.25456389671869,9.274861834535564,1,4,408.4618074135596,1222.0334973697313,1277.8790179352748,3497.4212356308117,6876.252470928784,364.93570856110034,29.373041923609758,22.227046410100133,1.1594721093728126
5,Thaba-Tseka,2020-06-30,wheat,9.538351684627436,3.442299639828072,85.83508317931675,22.272258399635696,72.93574677668674,5.588287374407296,541.992484108908,1,6.121333432030639,27.417169705763506,36.48820731403188,10.827752727485295,245.24808532569912,1.9427826975231914,84.92443604181608,97.48385738903178,1.7533578238636516,0.873710594865273,0.3570829326692286,0.17502790987736488,29.72802010063614,4.421437263353909,7.444383264784733,539.7244628572353,2797.906290643501,1442.3599287346176,7.719694996953985,5.077114064314804,1,0,392.1739360777859,965.7502177211948,1022.262556423443,5534.909731330565,6928.798170619137,248.71716244261447,10.37784575587493,17.06457640195636,0.6572256418152612
6,Qacha's Nek,2020-07-31,wheat,9.572555069780398,4.335967243295835,160.2480226662392,15.348388020576163,54.37207508862328,11.578385816800076,480.8050588335457,1,7.303663672843875,12.359898038871966,58.90290447504013,17.96209988536198,296.8349502428465,4.933724279526892,72.6229696898533,83.10606057415467,1.0445825192145886,0.44655040525371614,0.2728198522727072,0.6770107411800548,23.500557292058875,3.0898417505214955,11.8973442435908,253.2778352715182,3886.561991037531,1254.3904390587577,8.980869232355806,5.3025994107769705,2,7,406.23784050853385,2233.415458435543,784.8555121931221,3434.583980812603,6486.642941557533,179.89802121925914,33.66578978826985,23.460830158059135,1.4337054873501778
7,Qacha's Nek,2020-08-31,wheat,7.3643740812686564,2.5152345366767292,174.7914144768992,27.428723514664213,68.03328765209751,11.78851796787793,746.77409170183,2,7.311184835466943,26.035888823117848,37.11338341445573,18.802257303696752,110.87614297825866,3.3671039374469105,102.09763403690872,91.27146473595003,1.8736425675703972,0.6870629714290168,0.5401623954265329,0.48505428062938594,27.96822653915921,1.4429797880282864,18.80022855025112,247.00236423123565,2376.5961444319373,1450.3408384468958,7.517157660585555,6.386156579801111,1,8,402.27582054759176,1579.550441003047,627.0000004596241,3042.8196129983826,7895.796804287844,191.7241908524309,15.298496037634116,7.113413076840703,1.1897369759410943
8,Thaba-Tseka,2020-09-30,wheat,2.8128865733122703,2.0237632592580708,131.59875146733182,25.88599898586978,41.63739835375204,5.356942421316305,469.757580866461,2,7.467903215358589,22.042532063220538,36.03560328304326,14.401195674942745,143.15259395143394,4.441519630083949,121.24602142887618,93.94162427887645,1.660699828751507,0.3020042768972183,0.5891808884071192,0.2891863665699171,23.200721241123606,2.5507399165737765,13.703023127779224,573.4245226593717,4736.469275889009,1352.41305869667,14.744784018033698,1.5201174053672264,2,3,412.77862643365347,1908.836850167109,877.8893824706787,2704.2326505341107,7045.762273252405,308.4025099419571,32.437397545525954,13.360659939695825,0.8731545551005323
9,Mokhotlong,2020-10-31,wheat,7.186837897709116,1.5777029796442528,177.8808172402878,18.545134530500295,60.2425463814195,11.223898057957115,661.3955968262283,4,5.627308652130088,10.566850893954324,67.77147638623343,13.322547659763813,250.23483403090526,1.4955369096209226,95.74488784948596,92.25222637791018,0.6763761371399186,0.7536123243714028,0.45916275104971116,0.6206702128460044,21.404179253614025,1.1163272924733678,15.614874185996674,479.95068142545676,3010.4926777848877,1331.7143679241785,4.79470484705342,4.524367940808173,0,9,399.0575918467638,628.1099919374328,1265.7118917036407,2777.0965950973277,7585.651390671457,475.5024541060628,32.440141172295725,27.513199095825687,0.9554075491124723
10,Ha Lejone,2020-11-30,wheat,2.409051990278181,2.782095433178462,157.19945468552157,24.077139947067852,81.78707343675651,11.351237557465423,336.8620723633436,0,6.456443541395166,14.894424432141879,35.44972570331479,33.522390721948774,119.62331309854876,2.8820800300321956,54.64731287372568,46.48249094841796,2.287731494203957,0.7760703565397733,0.5226013389423392,0.4554533608669983,24.05443348323683,4.83671452533203,11.310925431797287,250.9711711898602,4667.266255486858,1700.9122269773288,13.515061150874306,7.1518057368297026,0,4,399.06540804203394,1799.9441347454135,1434.0433065113855,5770.540128560777,6603.125977322717,315.9345349840062,42.68826392898881,18.062475039701184,1.1656785858454115
11,Thaba-Tseka,2020-12-31,wheat,7.349766217218369,4.652356979399363,166.13797240716448,29.069094970519004,71.06037092390632,18.166128425354525,515.1573717538267,0,6.83099842204953,22.599190691801034,30.561091749225298,31.33954416128484,196.5791004477743,4.26282139800628,136.01230933140178,46.73610949418399,2.391843781666128,0.43796105319425394,0.7706034393551275,0.6727813017612609,37.72285925595499,2.4144939715552955,18.162735553256134,224.9598116604869,1134.9273539507872,1374.319727758122,1.9222687685091366,9.551369642975287,0,5,399.3471659960407,1418.8435572831659,1459.5003855568345,5263.714906099602,4093.1840546243693,114.01214882012134,46.848407191369034,19.54352345538948,1.4016881883483152
12,Qacha's Nek,2021-01-31,wheat,6.284622640015225,1.3367711007755925,190.49968454593136,24.06522809043083,60.35774221942301,14.265053641253349,685.848547542014,3,6.382549937464586,29.164800410086624,30.300245766416744,22.559932661744575,187.89216808241474,3.5543038814445636,144.40458054817282,63.8070701490685,2.059002717494853,0.4769429110272736,0.3381090176745162,0.10529502752290427,26.468191645854468,4.173912387027169,24.22433415093347,248.55358745767904,1225.9060328075689,1563.0346950693943,13.793875178086587,6.226598406318551,0,7,383.6738969799206,2942.3652150957178,959.5863641744199,5524.185061812172,5521.542101302288,469.52621512516873,10.388723192497391,28.239111484211314,1.1003853535854204
13,Qacha's Nek,2021-02-28,wheat,9.302071940656457,2.3495656721432687,108.45765231226324,34.590649005252345,69.43471905214803,16.830784519385524,395.53677686096466,3,6.468303037211376,12.027649621203427,45.88740179885065,36.97244557552706,127.92713948900128,4.546741143999769,75.69483387335583,75.9877411275552,1.340643933571239,0.6637008770526227,0.6465112429252711,0.5660154303431171,26.210833978662187,1.4669067639776374,20.432753014055933,405.9056181292183,3621.4358861925907,1237.449411500513,9.929177506755348,4.87653224204824,0,2,403.0566716474105,790.8791440801034,1331.6052545614687,4453.5472641906,4287.846437099123,247.40546642494542,29.394026066645974,8.036350567790553,0.9486385369456662
14,Semonkong,2021-03-31,wheat,6.012287466333178,0.781077895166975,140.2139445892646,15.733721720169438,41.67779577746035,14.877008249265225,561.0918129814199,3,6.954009804292905,27.045947565845058,51.07126926081625,15.591393000115747,170.52859637898695,1.9487502605894025,132.0790224200402,37.464340880258604,2.003813513841868,0.8689373967532703,0.5849719248783889,0.11571637577234602,29.30405176651756,2.5088331821221166,16.56830840848309,368.92613345498535,3944.4063942266307,1507.666461585553,14.462050804798954,3.5740253167240033,0,5,418.2512688987383,2135.197655876408,1082.2802494812918,4538.298352659544,6191.466656043463,360.65628314028453,35.36903286831311,22.860718831465476,1.4894200153088273
15,Thaba-Tseka,2021-04-30,wheat,7.198410776718995,4.341282287497537,144.42579570417814,18.697855049159593,65.75041216489215,7.625825148564287,470.057327264645,1,6.543657875677413,20.223538654147955,59.09560948765193,13.824948741725787,121.73517923707169,2.1634128527950423,80.4200846214141,63.14805368206754,1.2310372615727097,0.23181206527313286,0.6236124916531787,0.47608494102664267,38.563434288853074,4.401608285808992,21.52828939398775,360.3012273221294,4785.856312015997,1727.1443354456965,14.155075600731339,4.868944291376447,0,6,408.7565601313228,658.633892378316,428.3583284226669,3408.4753254819652,6181.551880405295,242.3478514340813,13.097488314579708,13.988599215154583,1.325000575654094
16,Qacha's Nek,2021-05-31,wheat,8.89930149099108,2.000553206727254,150.60720410956083,26.633484650079755,66.34790092963593,19.563620590540932,439.11016769609694,1,6.737842350073684,25.868677340882954,21.430697834274667,10.49056080515872,111.46393887718564,4.163557534778352,132.94370962564972,37.55162801673899,1.6095931668862722,0.8161064553352788,0.6822865708470318,0.10425016558976324,33.60392342442299,3.52434217284008,5.696465904574961,205.0654115672847,4411.460546526062,1331.3655693330575,7.495379215145924,0.8280653845183138,1,9,385.48478666171866,1315.854533000222,1358.9760949686379,3201.532800513699,6474.122346051188,155.29368131633103,11.297400938576349,25.659445039251302,0.7698290676905131
17,Qacha's Nek,2021-06-30,wheat,8.113854134389896,4.071999586998806,183.29689902544527,28.354135831789442,64.78550227194864,5.934382912334294,785.6858863130024,2,6.292868478882612,10.509126219984104,70.74950921294382,17.89694970165474,202.15614784537559,1.850661248115117,147.01739400925814,78.88054545747914,0.5517160782343664,0.7539760492572403,0.459323307201101,0.37211085857583015,21.73948829543156,4.519307068590749,23.428416439625522,480.42726797641706,3728.2180160003004,1569.735028332145,11.277782512442814,9.81781603201694,0,9,384.6917880784217,1997.0401522517757,1460.838169563148,5741.269787425737,7931.5831968965795,384.2516137217341,42.452384785836976,22.76510325462253,1.286799672395065
18,Qacha's Nek,2021-07-31,wheat,2.5403032105719507,4.267347664432863,74.69420375892273,28.555958938184947,74.78982897868315,14.7279717250862,521.4876905338471,2,6.238491131043846,27.219552538333684,20.874865733569663,38.590582732817474,247.98539259869244,3.2456553575646705,80.67071322418025,92.49091215652608,0.5186485558925051,0.3055526978454183,0.2410089742012485,0.2403583689451708,30.080272947877916,1.5841404029639876,15.387250902001746,410.61881817360666,2044.2026780588574,1368.789978900124,13.793730620928075,3.5884393902105445,0,1,386.16218324806715,2459.670591515731,598.7794058972033,2606.0400280230974,7828.985128777133,106.21626798593331,49.52646658382212,22.3053735064847,1.4023322612332798
19,Qacha's Nek,2021-08-31,wheat,2.7543133596156926,3.87355343249659,118.59800867060258,17.56642472151541,42.932586577883626,6.672799859356098,330.17570219973555,0,6.414760425348792,28.207875709055244,37.039224148409694,21.4896469832207,111.0780678112155,2.918366654241004,139.5273480461653,70.44342731638825,1.749797001250792,0.8475447725046898,0.7938330637085194,0.6326083680565492,39.093983445131855,3.7041056339424423,11.796660874152739,226.4392279230443,1042.9119633439527,1269.1386127879382,3.536968724108837,9.817185844454208,2,3,397.90468232752585,1933.2021034065542,1315.1505453769948,4396.745103105047,4462.021683855677,158.2771339868342,31.252729262519626,20.145763537508223,1.3158147211095943
20,Mokhotlong,2021-09-30,wheat,9.22187891434963,0.7403595532300888,183.9462132406943,20.036788683758814,66.44025051608403,9.477319227119942,476.4102245092412,2,6.467686560600783,29.448335548789576,38.857030315253084,17.866209894064724,210.67360296440248,4.466248824465568,127.44443529794376,83.51100948020667,2.465736346299386,0.41900838681829966,0.2111186343938405,0.47056263806159304,39.22895224483945,1.9156694666944674,16.284587447383487,304.86803982341144,3221.134640676377,1796.3340658875102,12.290017640465045,8.21500877780152,2,2,411.8193856425006,2128.227149513654,826.0701633734158,2945.228812369365,4662.413592129888,442.36413021687906,19.276721771696632,25.75240197797408,1.4584967569439264
21,Mokhotlong,2021-10-31,wheat,2.725477368515639,2.6715656693142655,119.09715948446515,18.63313166890096,82.08723397697293,11.112633871543437,303.0319176914821,0,5.9742482566194415,18.74826324481065,52.80151125972615,30.39230697083779,211.9439651762192,4.672733539181582,83.21136755140714,54.19612859076626,1.6720494320812145,0.8068066461858485,0.2377877129857977,0.19243411530225318,38.191761426801634,4.0119921251185655,5.286075347801972,391.91144821785366,3318.7496174639773,1254.405879249646,3.9045239911530674,2.1013618474644393,1,4,388.7668929479008,853.023136094572,842.1093965956327,5285.892220704965,5795.300755565418,382.7640409483111,46.3040534679273,12.93231048416067,0.7665494858651076
22,Qacha's Nek,2021-11-30,wheat,8.407348323570954,1.1200299694981577,81.82318071942075,17.82641147010412,60.586712940261904,15.350375304686017,550.6370632814028,4,6.139030752593101,24.073583874656734,44.68171288529129,15.484798890547236,178.82370536343618,2.938055504776094,72.88111255059437,33.045743590972094,0.6124636795777938,0.6738331601005928,0.23826824222182552,0.5225893391975412,27.13412717393757,2.52346415301614,8.33330548077244,584.4710932507826,4678.089897397044,1649.451789850428,10.870389999940793,1.721098804384318,1,1,383.3841377687161,1565.1949641389958,201.25531613593134,4001.893185442309,6399.77052064581,300.42658221753754,25.380415849547646,28.26703089099606,1.4789656617633993
23,Qacha's Nek,2021-12-31,wheat,3.036004090625184,0.5354096296603043,166.2891771100446,27.654716545921744,79.65590302649268,11.031357292261617,727.3356645191858,4,6.073763236031083,13.610479136522533,41.177363325608695,25.33635133586605,217.14339726800796,4.995784336763439,134.33389196769758,43.62428239085938,1.5266597564757767,0.5314042399443254,0.6429444196405247,0.24030469596644344,26.722820868136665,4.207648400724302,9.829748989374421,232.44178608138856,3725.433878446947,1488.6483843362385,3.361004044963685,4.9430813376724485,2,5,407.0409683313603,2948.6659473833297,1267.83796759258,5723.4944701856075,5634.64210321793,111.62986522350478,24.41910879689238,29.813132491048847,1.1063172016295342
24,Qacha's Nek,2022-01-31,wheat,4.443136744708794,4.3061842819886,78.1808133659755,17.207777255422638,60.46584949485168,11.484079657863862,626.4976320960914,4,6.905592391918565,26.54724338114814,75.36877517628272,25.012525967701343,161.91316173318285,4.917603883187267,76.69812468949367,33.237847915152166,2.4236253553002305,0.32556893393450803,0.22997290265749326,0.4085065568591316,22.620207017077277,1.2057578835204867,6.960108972223901,264.4034221070263,3794.4470433914325,1514.8184932624574,8.2187522058953,6.046915510411331,2,5,388.8881797255919,1091.9858722770937,1325.3561009544683,5237.8677721375225,5218.762232161719,142.8214009635368,22.32590382163234,12.058220313687569,0.9988111255995064
25,Semonkong,2022-02-28,wheat,2.8996793882317515,3.067457907760428,167.38337429029855,24.273629207562838,45.20606434431481,8.595367635501834,686.9579951797198,4,6.928079093577926,26.515509005819336,32.455264695737235,28.62962843487439,199.4871275534991,2.290731353746868,75.99667172232968,63.867889578529926,1.7782809562660968,0.6624532758042425,0.47289835254824664,0.41116953104901033,26.14510971055054,3.2021687806362737,11.281750372781813,398.1053002690975,4165.694532117257,1595.7980782542254,13.996326142926211,8.444173854877116,2,1,407.43738740495445,1921.7918418693096,949.8133780768369,2265.7794526164207,6003.093138811939,377.79077625735846,39.40849059623361,13.677547871061616,0.5760318819694463
26,Mokhotlong,2022-03-31,wheat,6.240437606400943,3.4658639842053587,66.22693190319168,18.841812782629805,67.30862495150657,7.511812496958971,592.1539294772031,3,5.776825916218423,17.459981769239995,59.13860385065355,28.42106557890836,298.7936714243949,2.801535331288616,50.096646968358,42.45845678622657,1.8293995633664937,0.66182066778436,0.7937643216005059,0.3795605467327591,21.601534363487723,4.633360492339595,12.46615607468442,245.59955344171942,3716.050225414525,1746.2439927268372,0.29121026316129006,1.9480744476156124,1,6,410.4798577039652,1712.089559268992,1226.4486479987925,3924.8678181045893,6180.478377987608,253.3301981576375,30.76775082573821,20.272994494685143,1.2565545008744121
27,Mokhotlong,2022-04-30,wheat,9.62252213907803,3.1357509460190216,165.43485663669475,32.787542465378884,47.6663807200989,12.137637277875548,343.9834995220477,4,7.324098511875771,28.936118359471305,71.45626457444499,33.01261773701023,184.0962365410478,3.6503176936839887,117.52063526129707,77.24740430991875,1.9505754672610662,0.5002863936579618,0.4693775771090505,0.4927582718673704,25.41330074371282,1.460066112892334,16.61774188838143,597.0934336712949,2585.2066404839306,1668.7204465289826,5.9531060174465935,7.189152163882255,1,7,385.67638175171464,1581.1815698034661,1472.6189177079682,2240.215425216197,4321.305280149016,384.1260924583502,31.708060229268895,16.769401797582244,0.528444390505771
28,Qacha's Nek,2022-05-31,wheat,7.289455491732215,0.7119750744044544,160.28295368846176,21.78293113385993,42.9376855054757,10.418651731828083,611.3667715171704,3,6.424248661868096,23.783622529323978,22.274846091658173,11.634392068471545,179.64696055709615,2.928949167280567,147.24865703109123,22.861336644308867,2.4210712370836345,0.65728729390231,0.7405953061809989,0.6084328683056061,21.510435740999906,1.292795719674717,8.468861078609438,402.4185276308351,4517.422992480344,1787.1852549694954,7.527325858229072,9.595393576925261,1,6,390.29596216776554,2985.657528653928,836.3542243793246,3306.0711498531114,4020.878754604725,278.3142184613873,37.18867224509643,22.364083788461915,1.1832982161696868
29,Thaba-Tseka,2022-06-30,wheat,2.374158195826917,4.286634494335756,51.692470916174585,34.59225247061801,79.15792391401523,6.366178152094922,573.1975523761514,3,5.640490298108444,10.82924779394709,37.816498186629254,38.49478519884917,121.13582221055528,4.290441605738955,99.96565291757264,21.319752067114727,1.1291150214077663,0.3456177730004862,0.7660279591792718,0.6125540131425418,20.89697377053516,2.3993447518395774,19.627100337832644,459.82392324169626,2765.8197062679646,1240.1938761399938,6.783144231667128,6.461014852192542,0,7,406.05674317974655,2572.1677931764298,626.5661763440946,5388.473351179716,4577.3226197658005,295.0777036210456,33.30905255215232,16.2915721654936,1.2543735011951793
30,Thaba-Tseka,2022-07-31,wheat,3.0016216912455764,3.155158926744868,154.81679158252845,17.002559153272433,73.34322013253086,16.036366615946243,536.422970037993,3,6.300648026472477,10.270364694107236,61.69731950725277,10.013031811434242,232.5488527086472,2.6304408598948674,101.84180237665201,97.98290439928968,1.0584341957428545,0.43368363063637394,0.4472843878360756,0.21924049192018377,33.64521128449238,3.888873069954293,19.046633480226408,575.1625919175899,4851.157036999739,1372.2793077994718,7.672959778294092,3.2035936370851337,0,9,396.0035754168629,2477.227995725786,1355.5773119607582,2126.703682516907,5721.0030453107875,289.84284209408173,20.29315032147547,26.905130711652372,0.6901097567013789
31,Mokhotlong,2022-08-31,wheat,8.423553351501862,3.3851475100324215,135.11846190586368,20.52953810288028,60.68873687706786,13.258244014717265,405.5497683002861,1,7.083650736170292,17.6463305262618,78.41177973805617,27.53549909999863,170.10870235548342,2.6314236649007743,142.98906247189657,46.645130793609056,2.4083200573584858,0.8472046684866141,0.6308370704639733,0.195453948713921,25.556607206872584,2.5682743467674998,15.654498863256013,262.54999659260113,4524.13026461116,1485.3941143309144,1.046801037317192,0.7299439560427169,0,8,386.66669268468166,2564.7866946820677,469.06927769026487,3883.679898894836,5028.449151925888,147.7758673005422,47.628182724669166,27.911260888130116,0.692091195409262
