,Date,Crop,Market_Price,Production_Cost,Gross_Profit_Margin
0,2022-01-01,Cabbage,11.78,9.09,22.82
1,2022-02-01,Cabbage,11.2,8.8,21.45
2,2022-03-01,Cabbage,14.76,6.07,58.88
3,2022-04-01,Cabbage,21.01,3.39,83.88
4,2022-05-01,Cabbage,21.04,3.08,85.36
5,2022-06-01,Cabbage,18.67,3.93,78.96
6,2022-07-01,Cabbage,17.69,4.22,76.15
7,2022-08-01,Cabbage,22.81,5.13,77.51
8,2022-09-01,Cabbage,29.18,7.11,75.64
9,2022-10-01,Cabbage,27.96,4.39,84.29
10,2022-11-01,Cabbage,27.09,3.95,85.43
11,2022-12-01,Cabbage,21.02,3.11,85.23
12,2023-01-01,Cabbage,14.4,5.4,62.48
13,2023-02-01,Cabbage,23.38,3.29,85.91
14,2023-03-01,Cabbage,20.71,5.18,74.98
15,2023-04-01,Cabbage,11.18,4.32,61.34
16,2023-05-01,Cabbage,29.29,9.34,68.13
17,2023-06-01,Cabbage,28.97,8.4,71
18,2023-07-01,Cabbage,22.51,7.7,65.78
19,2023-08-01,Cabbage,27.52,9.87,64.13
20,2023-09-01,Cabbage,18.51,7.31,60.52
21,2023-10-01,Cabbage,17.4,6.63,61.93
22,2023-11-01,Cabbage,20.02,5.06,74.72
23,2023-12-01,Cabbage,20.73,7.73,62.71
24,2024-01-01,Cabbage,26.48,6.42,75.75
25,2024-02-01,Cabbage,10.43,8.43,19.22
26,2024-03-01,Cabbage,10.85,8.99,17.11
27,2024-04-01,Cabbage,22.33,6.12,72.58
28,2024-05-01,Cabbage,19.34,6.97,63.99
29,2024-06-01,Cabbage,11.67,8.09,30.68
30,2024-07-01,Cabbage,24.82,9.22,62.84
31,2024-08-01,Cabbage,19.85,4.64,76.63
32,2024-09-01,Cabbage,16.18,5.09,68.55
33,2024-10-01,Cabbage,12.37,7.61,38.52
34,2024-11-01,Cabbage,29.07,7.42,74.46
35,2024-12-01,Cabbage,14.01,4.99,64.4
36,2022-01-01,Spinach,23.8,7.91,66.75
37,2022-02-01,Spinach,29.51,7.82,73.49
38,2022-03-01,Spinach,27.43,9.7,64.65
39,2022-04-01,Spinach,24.39,3.24,86.72
40,2022-05-01,Spinach,15.16,8.15,46.26
41,2022-06-01,Spinach,24.41,5.54,77.31
42,2022-07-01,Spinach,14.81,6.45,56.46
43,2022-08-01,Spinach,23.8,7.97,66.49
44,2022-09-01,Spinach,17.94,4.55,74.63
45,2022-10-01,Spinach,21.7,9.03,58.39
46,2022-11-01,Spinach,10.59,7.45,29.59
47,2022-12-01,Spinach,17.11,6.38,62.74
48,2023-01-01,Spinach,17.98,4.27,76.25
49,2023-02-01,Spinach,16.95,6.22,63.32
50,2023-03-01,Spinach,20.01,3.07,84.68
51,2023-04-01,Spinach,15.11,4.98,67.02
52,2023-05-01,Spinach,23.55,9.92,57.88
53,2023-06-01,Spinach,14.09,6.77,51.99
54,2023-07-01,Spinach,27.8,8.82,68.28
