Crop,Avg. Temp (°C),Avg. Rainfall,Avg. Soil pH,Avg. Humidity,Avg. Sunlight (hours),Wind,Soil Type
Onions,18.0,63,6.0,52,7,High,Sandy loam
Wheat,25.0,50,6.2,69,7,High,Loam
Corn,16.0,67,6.1,69,7,Moderate,Loam
Beans,21.0,78,7.2,56,7,Low,Sandy loam
Rice,27.0,67,6.3,50,6,Moderate,Clay
Oats,19.0,75,6.0,57,6,High,Sandy loam
Tomatoes,22.0,62,6.6,55,9,Low,Clay
Peas,29.0,43,7.9,67,9,Low,Loam
Onions,21.0,56,7.6,53,9,Moderate,Loam
Corn,22.0,54,6.2,58,8,High,Clay
Oats,30.0,75,6.4,61,8,Moderate,Loam
Barley,30.0,41,7.6,56,6,Moderate,Sandy loam
Carrots,27.0,75,7.2,70,7,Low,Clay
Peas,27.0,67,7.3,70,7,Low,Sandy loam
Tomatoes,16.0,62,6.9,60,6,High,Clay
Carrots,24.0,49,7.2,53,9,Low,Loam
Tomatoes,19.0,56,6.7,67,8,Moderate,Sandy loam
Cabbage,24.0,66,6.3,53,8,High,Sandy loam
Barley,20.0,73,6.7,51,7,Moderate,Clay
Oats,22.0,58,6.0,61,8,Low,Loam
Peas,17.0,54,6.0,52,6,Moderate,Clay
Tomatoes,17.0,51,6.2,64,8,Moderate,Clay
Onions,20.0,55,6.9,67,8,Moderate,Clay
Cabbage,22.0,40,6.6,67,9,High,Sandy loam
Potatoes,30.0,45,6.7,67,7,Low,Sandy loam
Tomatoes,25.0,60,7.2,59,9,Moderate,Sandy loam
Rice,29.0,71,6.0,65,8,Moderate,Clay
Barley,30.0,42,7.9,63,9,High,Clay
Potatoes,19.0,44,6.8,57,6,Low,Sandy loam
Potatoes,28.0,66,6.8,66,9,Low,Loam
Wheat,17.0,75,6.3,51,6,Moderate,Clay
Cabbage,29.0,65,7.3,51,7,Low,Loam
Potatoes,29.0,74,6.3,63,9,High,Loam
Maize,21.0,50,6.1,56,6,High,Clay
Maize,15.0,42,6.1,53,9,Low,Loam
Tomatoes,19.0,52,6.4,54,9,Low,Sandy loam
Wheat,30.0,67,7.5,59,6,Low,Loam
Beans,24.0,74,6.8,62,8,High,Clay
Beans,26.0,56,7.8,62,6,High,Loam
Tomatoes,26.0,76,7.6,55,7,Low,Clay
Tomatoes,15.0,65,6.3,59,6,Moderate,Loam
Rice,18.0,74,7.6,66,9,High,Clay
Carrots,29.0,74,7.7,63,7,High,Sandy loam
Peas,22.0,43,7.2,59,6,Low,Sandy loam
Carrots,17.0,67,6.3,57,8,Moderate,Loam
Potatoes,24.0,78,7.1,51,7,Moderate,Loam
Tomatoes,18.0,65,7.0,67,7,Moderate,Sandy loam
Beans,21.0,58,6.2,55,8,Low,Sandy loam
Corn,22.0,68,6.6,64,7,Moderate,Sandy loam
Rice,21.0,73,6.3,64,7,Moderate,Sandy loam
Onions,29.0,77,6.4,56,6,High,Sandy loam
Barley,21.0,66,6.9,63,7,Moderate,Sandy loam
Onions,17.0,66,6.1,57,6,High,Sandy loam
Peas,28.0,78,7.6,63,7,Moderate,Clay
Rice,16.0,51,6.4,60,7,Moderate,Clay
Carrots,24.0,49,7.7,65,8,Moderate,Loam
Corn,21.0,45,7.1,65,8,Moderate,Loam
Sorghum,16.0,41,6.4,64,7,Low,Loam
Wheat,26.0,51,6.5,68,8,Moderate,Clay
Beans,29.0,49,7.7,68,9,Low,Clay
Oats,30.0,44,7.9,51,9,Low,Loam
Corn,26.0,54,7.2,59,9,High,Loam
Potatoes,15.0,76,7.4,50,8,Moderate,Loam
Sorghum,25.0,52,6.3,53,8,Low,Clay
Onions,20.0,60,6.1,62,8,Moderate,Loam
Cabbage,15.0,70,7.9,64,9,Low,Sandy loam
Oats,16.0,68,6.9,52,6,High,Sandy loam
Carrots,26.0,58,7.7,58,6,Moderate,Sandy loam
Maize,24.0,73,6.1,53,9,High,Loam
Maize,26.0,67,6.6,70,7,Moderate,Clay
Corn,25.0,77,7.1,56,8,High,Clay
Wheat,18.0,42,7.9,66,6,Moderate,Clay
Potatoes,26.0,72,7.0,65,6,Moderate,Clay
Peas,26.0,44,7.6,60,8,Low,Clay
Barley,27.0,74,7.6,50,9,Moderate,Loam
Rice,22.0,63,6.3,51,7,High,Clay
