Crop,Avg. Temp (°C),Avg. Rainfall,Avg. Soil pH,Avg. Humidity,Avg. Sunlight (hours),Wind,Soil Type
Maize,22,66,6.9,60,9,High,Sandy loam
Beans,20,61,7.5,65,8,High,Clay
Wheat,19,60,6.4,65,6,Moderate,Loam
Wheat,25,49,6.4,62,9,Moderate,Clay
Cabbage,20,80,7.9,63,6,High,Clay
Oats,28,54,7.4,68,9,High,Clay
Beans,26,54,6.2,61,8,High,Clay
Potatoes,23,65,7.7,60,9,High,Loam
Rice,29,61,6.6,64,9,Moderate,Loam
Peas,23,69,7.7,57,9,Low,Clay
Beans,24,79,6.2,59,8,High,Clay
Beans,27,52,7.8,50,9,Moderate,Loam
Carrots,25,72,7.3,55,6,Moderate,Loam
Corn,24,63,6.6,53,8,Low,Clay
Barley,22,52,6.8,51,9,Moderate,Loam
Carrots,19,69,7.7,64,9,Low,Clay
Wheat,24,66,7.9,59,9,Low,Clay
Potatoes,26,57,7.1,65,8,High,Sandy loam
Corn,24,71,6.1,65,7,Low,Sandy loam
Peas,29,50,6.1,65,7,Low,Loam
Beans,28,60,7.6,64,9,Low,Sandy loam
Onions,22,52,7.3,50,7,Low,Clay
Oats,24,62,7.7,69,9,High,Loam
Oats,22,55,6.7,53,9,Moderate,Loam
Rice,27,43,7.0,53,8,Moderate,Loam
Peas,30,77,6.0,68,6,Low,Loam
Corn,19,65,7.7,69,9,Low,Loam
Corn,30,73,7.0,54,6,Low,Clay
Wheat,23,59,7.3,53,8,Moderate,Loam
Peas,27,63,7.1,58,8,Low,Loam
Peas,22,76,7.0,53,7,High,Loam
Rice,27,50,6.5,50,6,Moderate,Clay
Oats,28,49,7.5,53,7,High,Clay
Wheat,22,57,7.7,62,9,Low,Loam
Peas,19,51,7.3,54,7,Low,Clay
Sorghum,25,70,6.8,66,9,Low,Sandy loam
Onions,24,47,7.0,67,8,Low,Loam
Tomatoes,24,60,7.8,62,6,Moderate,Loam
Peas,20,61,6.4,55,6,High,Clay
Wheat,15,40,6.0,63,6,Moderate,Sandy loam
Onions,21,67,6.4,56,9,Low,Loam
Rice,18,63,7.0,58,6,Low,Loam
Peas,23,72,6.6,70,6,Moderate,Sandy loam
Tomatoes,27,52,7.5,53,8,Low,Clay
Beans,16,59,6.7,70,8,Low,Loam
Wheat,26,50,6.5,63,9,Low,Sandy loam
Rice,24,55,7.6,55,9,High,Loam
Barley,18,71,6.5,62,9,High,Clay
Sorghum,22,53,6.2,62,8,Low,Loam
Peas,17,72,7.9,64,7,High,Sandy loam
Beans,25,44,7.3,65,7,Moderate,Sandy loam
Peas,26,72,6.8,62,8,Moderate,Clay
Oats,30,80,6.1,65,8,Moderate,Sandy loam
Wheat,28,76,6.8,65,6,High,Loam
Tomatoes,26,45,6.0,61,6,Low,Clay
Tomatoes,18,67,7.9,63,8,Moderate,Sandy loam
Rice,17,55,6.2,50,7,High,Sandy loam
Oats,26,67,6.3,57,9,Low,Clay
Sorghum,15,55,6.9,69,8,Moderate,Clay
Cabbage,16,53,7.2,64,8,Low,Loam
Peas,15,47,6.5,69,9,Low,Clay
Carrots,28,59,6.8,50,8,Moderate,Sandy loam
Barley,18,68,7.3,65,9,Low,Loam
Wheat,21,73,7.0,60,8,Moderate,Sandy loam
Cabbage,20,72,7.7,50,7,Low,Loam
Onions,29,63,6.6,64,6,Low,Clay
Barley,30,40,6.5,52,8,Moderate,Clay
Sorghum,19,61,6.3,61,6,High,Sandy loam
Rice,21,72,7.4,61,7,Moderate,Clay
Potatoes,15,51,6.2,65,7,Low,Clay
Wheat,29,66,7.7,55,7,Moderate,Sandy loam
Cabbage,28,72,7.8,59,9,Low,Loam
Potatoes,16,53,7.9,68,8,High,Sandy loam
Oats,22,65,7.6,67,9,Moderate,Clay
Sorghum,18,54,7.0,51,8,High,Loam
Onions,28,59,7.1,55,7,Low,Clay
Oats,25,79,7.0,58,6,Low,Clay
Beans,24,42,7.0,54,8,High,Clay
Onions,26,73,7.5,65,9,Low,Sandy loam
Beans,25,45,7.6,52,7,Moderate,Sandy loam
Wheat,28,47,7.9,59,6,High,Sandy loam
Corn,20,45,7.3,55,7,Low,Clay
Carrots,30,41,7.3,52,7,High,Loam
Maize,25,69,7.7,60,7,Low,Loam
Potatoes,29,45,7.6,60,9,High,Sandy loam
Beans,16,74,7.4,54,8,High,Loam
Potatoes,15,74,6.2,51,7,High,Loam
Beans,19,62,7.3,61,6,High,Loam
Beans,27,63,6.0,61,8,High,Sandy loam
Cabbage,28,64,6.3,56,8,Low,Sandy loam
Wheat,21,65,7.4,68,6,Low,Sandy loam
Beans,24,80,7.4,69,8,High,Sandy loam
Peas,30,70,7.0,67,6,Low,Clay
Tomatoes,16,66,7.0,68,7,Moderate,Clay
Rice,29,63,7.0,55,9,Moderate,Clay
Potatoes,26,58,6.5,55,8,Low,Loam
Maize,28,70,6.7,63,9,High,Clay
Wheat,22,41,7.3,67,8,Low,Sandy loam
Cabbage,19,63,7.4,70,7,Moderate,Sandy loam
Potatoes,26,46,6.4,58,7,Low,Clay
Oats,26,52,7.3,50,6,Low,Loam
Rice,20,48,7.2,56,8,High,Sandy loam
Peas,28,57,6.0,60,7,Moderate,Clay
Barley,26,79,7.7,55,8,Moderate,Loam
Beans,15,51,7.8,67,6,Low,Loam
Oats,23,60,7.6,66,8,High,Loam
Tomatoes,26,40,7.3,59,8,Moderate,Loam
Corn,15,59,7.3,56,9,High,Clay
Corn,28,47,6.8,69,8,Low,Clay
Maize,19,69,7.3,60,8,Low,Clay
Cabbage,24,57,6.9,55,8,Low,Clay
Carrots,27,47,7.7,68,7,Low,Loam
Carrots,24,60,6.2,55,7,Low,Sandy loam
Sorghum,20,41,6.5,54,6,Moderate,Loam
Peas,29,60,6.2,69,6,Moderate,Clay
Beans,27,53,7.3,56,7,Low,Loam
Maize,23,43,7.6,69,8,High,Loam
Peas,19,78,6.4,53,9,Moderate,Sandy loam
Barley,24,57,6.0,65,7,Moderate,Loam
Tomatoes,28,51,6.2,56,7,High,Clay
Carrots,21,65,6.2,58,8,Low,Clay
Maize,17,72,7.0,64,8,High,Loam
Barley,30,55,6.2,53,8,High,Loam
Onions,16,41,7.3,66,8,Moderate,Clay
Maize,20,44,7.5,55,8,High,Loam
Tomatoes,29,46,7.1,58,6,Moderate,Sandy loam
Carrots,24,68,7.8,67,7,Moderate,Clay
Maize,23,47,7.2,52,9,Low,Clay
Tomatoes,19,75,6.3,52,7,Low,Loam
Potatoes,24,42,6.4,50,8,Moderate,Loam
Maize,16,57,6.8,67,9,Moderate,Loam
Sorghum,23,77,7.8,53,6,Moderate,Clay
Carrots,25,46,7.5,54,7,Moderate,Loam
Sorghum,17,51,6.2,55,8,Low,Sandy loam
Sorghum,28,54,6.1,60,6,Low,Clay
